code,name,source,file
A,"Accord (A)",https://inecnigeria.org/wp-content/uploads/2024/06/A.jpg,A.jpg
AA,"Action Alliance (AA)",https://inecnigeria.org/wp-content/uploads/2024/06/AA-150x150-1.jpg,AA.jpg
ADP,"Action Democratic Party (ADP)",https://inecnigeria.org/wp-content/uploads/2024/06/ADP-150x150-1.png,ADP.png
APP,"Action Peoples Party (APP)",https://inecnigeria.org/wp-content/uploads/2024/06/APP-150x114-2.png,APP.png
AAC,"African Action Congress (AAC)",https://inecnigeria.org/wp-content/uploads/2024/06/AAC.jpg,AAC.jpg
ADC,"African Democratic Congress (ADC)",https://inecnigeria.org/wp-content/uploads/2024/06/ADC-150x150-1.jpg,ADC.jpg
APC,"All Progressives Congress (APC)",https://inecnigeria.org/wp-content/uploads/2024/06/apclogo-150x150-2.jpg,APC.jpg
APGA,"All Progressives Grand Alliance (APGA)",https://inecnigeria.org/wp-content/uploads/2024/06/APGA-150x140-2.jpg,APGA.jpg
APM,"Allied Peoples Movement (APM)",https://inecnigeria.org/wp-content/uploads/2024/06/APM-150x117-2.jpg,APM.jpg
BP,"Boot Party (BP)",https://inecnigeria.org/wp-content/uploads/2024/06/BootParty-150x150-1.jpg,BP.jpg
DLA,"DEMOCRATIC LEADERSHIP ALLIANCE (DLA)",https://inecnigeria.org/wp-content/uploads/logo-DLA.jpg,DLA.jpg
LP,"Labour Party (LP)",https://inecnigeria.org/wp-content/uploads/2024/06/LP-150x150-1.jpg,LP.jpg
NRM,"National Rescue Movement (NRM)",https://inecnigeria.org/wp-content/uploads/2024/06/NRM-150x150-1.png,NRM.png
NNPP,"New Nigeria Peoples Party (NNPP)",https://inecnigeria.org/wp-content/uploads/2024/06/nnpp-1.jpg,NNPP.jpg
PDP,"Peoples Democratic Party (PDP)",https://inecnigeria.org/wp-content/uploads/2024/06/PDP-150x150-1.jpg,PDP.jpg
PRP,"Peoples Redemption Party (PRP)",https://inecnigeria.org/wp-content/uploads/2024/06/PRP.png,PRP.png
SDP,"Social Democratic Party (SDP)",https://inecnigeria.org/wp-content/uploads/2024/06/SDP-150x150-1.png,SDP.png
YPP,"Young Progressive Party (YPP)",https://inecnigeria.org/wp-content/uploads/2024/06/YPP-150x150-1.png,YPP.png
YP,"Youth Party (YP)",https://inecnigeria.org/wp-content/uploads/2024/06/Screenshot-2023-07-12-at-4.33.10-PM-150x150-1.png,YP.png
ZLP,"Zenith Labour Party (ZLP)",https://inecnigeria.org/wp-content/uploads/2024/06/ZLP.jpg,ZLP.jpg
